name,author,price,original price,pages,publisher,publish type,publish date,available numbers,detail_url
"Des M. Fabius Quintilian Anleitung Zur Redekunst, Book 10: Lateinisch Und Deutsch (1858)","
Alberti,Eduard",25.69,34.3,32,APPLEWOOD                     ,Paperback,23/10/1992,['15 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781168359162
Letters from Skokholm,"
Lockley,R.M.",27.73,37.03,192,HARRY N ABRAMS INC            ,Paperback,10/04/2018,['2 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780956254580
My Southern Journey: True Stories from the Heart of the South,"
Bragg,Rick",23.2,30.98,144,MARINER BOOKS                 ,Paperback,03/11/2015,['230 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780848757465
Travels in Alaska,"
Muir,John",22.7,30.32,449,ARDEN SHAKESPEARE             ,Hardcover,01/06/2006,['111 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781423644743
"Memories of a Small Town: Stories from Loogootee, Indiana","
Williams-VanHoy,Marla(Kalb)",30.97,41.35,288,FARRAR STRAUS & GIROUX        ,Paperback,02/10/2018,['218 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781949609721
"Love Letters of Great Men, Volume 1","
Beethoven,LudwigVan",22.76,30.39,288,BLACK DOG & LEVENTHAL         ,Paperback,21/08/2018,['116 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781440496028
What the Dog Saw: And Other Adventures,"
Gladwell,Malcolm",22.32,29.8,336,MARINER BOOKS                 ,Paperback,02/10/2018,['189 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780316076203
"Touching Feeling: Affect, Pedagogy, Performativity","
Sedgwick,EveKosofsky",29.35,39.19,263,GIBBS SMITH PUB               ,Paperback,01/04/2011,['2898 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780822330158
The Book of Delights: Essays,"
Gay,Ross",28.74,38.38,256,FARRAR STRAUS & GIROUX        ,Hardcover,13/11/2018,['57 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781616207922
The Best of Royko: The Tribune Years,"
Royko,Mike",41.43,55.32,192,PENGUIN PR                    ,Hardcover,11/10/2016,['121 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781572842557
