name,author,price,original price,pages,publisher,publish type,publish date,available numbers,detail_url
['The Psychedelic Experience: A Manual Based on the Tibetan Book of the Dead'],"
Leary,Timothy",23.47,27.65,864,['WASHINGTON SQUARE             '],Paperback,01/08/1993,['13 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780806538570
['Hsin Hsin Ming: The Zen Understanding of Mind and Consciousness'],"
Osho",25.1,29.57,0,['DAVID R GODINE                '],Paperback,01/04/2018,['33 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780983640097
['Entering the Secret World of Nature'],"
Roads,MichaelJ.",26.9,31.69,319,['PUBLIC AFFAIRS                '],Paperback,31/07/2012,['3 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781942497394
['Plato and a Platypus Walk Into a Bar . . .: Understanding Philosophy Through Jokes'],"
Cathcart,Thomas",21.71,25.58,796,['CAMBRIDGE UNIV PR             '],Paperback,28/02/1999,['109 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780143113874
['Happiness & Contemplation'],"
Pieper,Josef",24.34,28.67,536,['PRINCETON UNIV PR             '],Paperback,19/06/2000,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781890318314
['Bubbles: Spheres Volume I: Microspherology'],"
Sloterdijk,Peter",55.4,65.26,192,['OPEN ROAD MEDIA               '],Hardcover,08/05/2018,['46 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781584351047
['Zen in the Martial Arts'],"
Hyams,Joe",10.68,12.59,256,['PENGUIN GROUP                 '],Mass,01/09/1999,['9 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780553275599
['A Secular Age'],"
Taylor,Charles",79.3,93.41,326,['MIT PR                        '],Hardcover,28/08/1991,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780674026766
['Gorgias'],"
Plato",12.75,15.02,134,['ST AUGUSTINES PR INC          '],Paperback,30/05/2015,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780199540327
['What Is Sex?'],"
Zupancic,Alenka",29.63,34.91,232,['BLOOMSBURY ACADEMIC           '],Paperback,20/09/2018,['10 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780262534130
"[""Private Government: How Employers Rule Our Lives (and Why We Don't Talk about It)""]","
Anderson,Elizabeth",44.78,52.75,142,['HARPER COLLINS                '],Hardcover,19/02/2013,['2 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780691176512
['Chosen by God'],"
Sproul,R.C.",21.75,25.62,256,['LIVERIGHT                     '],Paperback,28/08/2018,['23 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780842313353
['Modern Ethics in 77 Arguments: A Stone Reader'],"
Catapano,Peter",28.05,33.05,26,['LIGHTNING SOURCE INC          '],Paperback,29/04/2017,['83 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781631493997
['You Had Better Make Some Noise: Words to Change the World'],"
PhaidonEditors",18.88,22.24,336,['ST AUGUSTINES PR INC          '],Paperback,26/03/2019,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780714876733
['The Public and Its Problems: An Essay in Political Inquiry'],"
Dewey,John",35.8,42.17,256,['PRINCETON UNIV PR             '],Paperback,27/02/2018,['31 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780804011662
['Big Ideas: The Little Book of Philosophy'],"
DK",20.97,24.71,108,['YALE UNIV PR                  '],Paperback,24/07/2007,['13 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781465475565
['A Short History of Decay'],"
Cioran,E.M.",24.21,28.52,125,['SHAMBHALA PUB                 '],Paperback,20/10/1998,['6 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781611457360
['Stolen Legacy: The Egyptian Origins of Western Philosophy'],"
James,GeorgeG.M.",18.82,22.17,728,['PRINCETON UNIV PR             '],Paperback,21/01/1988,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781494861995
['The Sunflower: On the Possibilities and Limits of Forgiveness'],"
Wiesenthal,Simon",23.86,28.11,224,['MCGRAW HILL BOOK CO           '],Paperback,07/10/2014,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780805210606
['The Ashtray: (or the Man Who Denied Reality)'],"
Morris,Errol",47.67,56.16,32,['PARENTING PR UNC              '],Hardcover,01/01/2011,['28 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780226922683
['The Perennial Philosophy'],"
Huxley,Aldous",23.91,28.17,96,['BOOKSALES INC REMAINDERS      '],Paperback,05/04/2012,['55 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780061724947
['Wabi-Sabi: Further Thoughts'],"
Koren,Leonard",21.76,25.64,528,['BASIC BOOKS                   '],Paperback,22/11/2016,['16 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780981484655
['The Spirit of Laws'],"
Montesquieu,CharlesDeSecondat",30.29,35.68,416,['PENGUIN GROUP                 '],Paperback,14/09/2007,['30 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781573929493
"[""The Art of the Argument: Western Civilization's Last Stand""]","
Molyneux,Stefan",23.27,27.42,224,['SHAMBHALA PUB                 '],Paperback,11/01/2005,['169 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781548742072
['Aspiration: The Agency of Becoming'],"
Callard,Agnes",158.8,187.05,192,['SHAMBHALA PUB                 '],Hardcover,11/01/2005,['30 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780190639488
['The Three Pillars of Zen'],"
Kapleau,RoshiP.",25.71,30.29,248,['SCHOOL OF LIFE PR             '],Paperback,04/09/2018,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780385260930
['The Art of War'],"
Tzu,Sun",9.84,11.6,336,['PRINCETON UNIV PR             '],Paperback,05/02/2019,['31 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781599869773
['Praktischer Idealismus: Adel - Technik - Pazifismus'],"
Coudenhove-Kalergi,RichardNikolaus",47.62,56.1,543,['POCKET BOOKS                  '],Paperback,01/01/1991,['60 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781912452903
"[""Wittgenstein's Family Letters: Corresponding with Ludwig""]","
McGuinness,Brian",40.37,47.56,192,['HARVARD UNIV PR               '],Hardcover,15/04/1975,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781474298131
['The Art of Worldly Wisdom'],"
Gracian,Baltasar",27.74,32.68,376,['PRINCETON UNIV PR             '],Hardcover,05/09/2017,['74 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780385421317
['A Little History of Philosophy'],"
Warburton,Nigel",23.36,27.52,160,['FREE PR                       '],Paperback,05/01/2013,['43 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780300187793
['Fear and Trembling and the Sickness Unto Death'],"
Kierkegaard,Sren",22.43,26.42,406,['INTEGRAL YOGA PUBN            '],Paperback,03/11/2005,['9 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780691158310
