name,author,price,original price,pages,publisher,publish type,publish date,available numbers,detail_url
"[""What the Eyes Don't See: A Story of Crisis, Resistance, and Hope in an American City""]","
Hanna-Attisha,Mona",41.7,49.12,368,['MARINER BOOKS                 '],Hardcover,02/10/2018,['85 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780399590832
['Energy and Civilization: A History'],"
Smil,Vaclav",58.47,68.87,240,['BLACK DOG & LEVENTHAL         '],Hardcover,15/10/2014,['27 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780262035774
['Algorithms to Live by: The Computer Science of Human Decisions'],"
Christian,Brian",27.56,32.47,158,['SILVER CROWN PROD             '],Paperback,24/10/2017,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781250118363
['Neuroplasticity'],"
Costandi,Moheb",21.7,25.56,464,['SKYHORSE PUB                  '],Paperback,21/02/2017,['13 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780262529334
['Coyote America: A Natural and Supernatural History'],"
Flores,Dan",23.68,27.9,0,['COLD SPRING HARBOR LABORATORY '],Paperback,01/11/2014,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780465093724
['Buzz: The Nature and Necessity of Bees'],"
Hanson,Thor",37.75,44.47,272,['VINTAGE BOOKS                 '],Hardcover,31/03/1992,['20 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780465052615
"[""Infinite Wonder: An Astronaut's Photographs from a Year in Space""]","
Kelly,Scott",67.92,80.0,368,['BANTAM DELL                   '],Hardcover,20/02/2018,['57 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781524731847
['Ethnopharmacologic Search for Psychoactive Drugs (Vol. 1 & 2): 50 Years of Research'],"
McKenna,Dennis",177.7,209.31,304,['CHELSEA GREEN PUB CO          '],Hardcover,05/07/2018,['33 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780907791683
"['Deep Survival: Who Lives, Who Dies, and Why']","
Gonzales,Laurence",27.44,32.33,240,['BLACK DOG & LEVENTHAL         '],Paperback,01/10/2009,['132 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780393353716
"['Brain Rules (Updated and Expanded): 12 Principles for Surviving and Thriving at Work, Home, and School']","
Medina,John",24.27,28.59,272,['NEW PR                        '],Paperback,15/01/2019,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780983263371
['Light: The Visible Spectrum and Beyond'],"
Watzke,Megan",49.72,58.57,800,['PENGUIN GROUP                 '],Hardcover,01/05/2018,['13 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781631910067
['The Serengeti Rules: The Quest to Discover How Life Works and Why It Matters - With a New Q&A with the Author'],"
Carroll,SeanB.",24.78,29.19,272,['PRINCETON UNIV PR             '],Paperback,16/10/2018,['43 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780691175683
